element	sp_num	obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
N	3	""	"173.0864"	""	"1.80e+08"	C+	"330266.5"	"388041.1"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4f"	"4G"	"5/2"		"T7192LS"	""	
N	3	""	"173.1560"	""	"1.76e+08"	C+	"330318.5"	"388069.9"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4f"	"4G"	"7/2"		"T7192LS"	""	
N	3	""	"173.2085"	""	"1.08e+08"	C+	"330389.9"	"388123.8"	"2s.2p.(3P*).3d"	"4F*"	"9/2"	"2s.2p.(3P*).4f"	"4G"	"9/2"		"T7192LS"	""	
N	3	""	"173.2424"	""	"6.49e+06"	C+	"330318.5"	"388041.1"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4f"	"4G"	"5/2"		"T7192LS"	""	
N	2	""	"173.2428"	""	"3.91e+07"	C	"149187.80"	"206910.24"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"1S"	"0"		"T6385"	""	
N	3	""	"173.3703"	""	"3.93e+06"	C+	"330389.9"	"388069.9"	"2s.2p.(3P*).3d"	"4F*"	"9/2"	"2s.2p.(3P*).4f"	"4G"	"7/2"		"T7192LS"	""	
N	3	""	"173.7595"	""	"3.05e+06"	B	"376750.4"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"1/2"	"2s.2p.(3P*).8d"	"4D*"	"1/2"		"T7192LS"	""	
N	3	""	"173.7595"	""	"1.53e+06"	B	"376750.4"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"1/2"	"2s.2p.(3P*).8d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"173.8964"	""	"2.44e+06"	B	"376795.7"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).8d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"173.8964"	""	"1.42e+06"	B	"376795.7"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).8d"	"4D*"	"5/2"		"T7192LS"	""	
N	3	""	"173.8964"	""	"3.05e+06"	B	"376795.7"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).8d"	"4D*"	"1/2"		"T7192LS"	""	
N	2	""	"174.0310"	""	"2.21e+07"	B	"109217.6"	"166678.64"	"2s.2p3"	"3P*"	"2"	"2s2.2p.3p"	"3D"	"3"		"T7333"	""	
N	3	""	"174.0814"	""	"8.66e+05"	B	"376856.8"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"5/2"	"2s.2p.(3P*).8d"	"4D*"	"7/2"		"T7192LS"	""	
N	3	""	"174.0814"	""	"2.13e+06"	B	"376856.8"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"5/2"	"2s.2p.(3P*).8d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"174.0814"	""	"3.48e+06"	B	"376856.8"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"5/2"	"2s.2p.(3P*).8d"	"4D*"	"5/2"		"T7192LS"	""	
N	1	""	"174.2719"	""	"2.12e+07"	B	"28838.920"	"86220.510"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(3P).3s"	"2P"	"3/2"		"T7370"	""	
N	1	"174.2729"	"174.2731"	"775"	"1.05e+08"	B	"28839.306"	"86220.510"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(3P).3s"	"2P"	"3/2"		"T7370"	"L3513"	
N	3	""	"174.2789"	""	"6.16e+05"	C+	"297151.2"	"354530.5"	"2s.2p.(3P*).3s"	"2P*"	"1/2"	"2s2.6d"	"2D"	"3/2"		"T7192LS"	""	
N	2	""	"174.3197"	""	"1.67e+07"	B	"109216.6"	"166582.45"	"2s.2p3"	"3P*"	"1"	"2s2.2p.3p"	"3D"	"2"		"T7333"	""	
N	2	""	"174.3228"	""	"5.40e+06"	B	"109217.6"	"166582.45"	"2s.2p3"	"3P*"	"2"	"2s2.2p.3p"	"3D"	"2"		"T7333"	""	
N	3	""	"174.3497"	""	"1.15e+06"	B	"376945.2"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"7/2"	"2s.2p.(3P*).8d"	"4D*"	"5/2"		"T7192LS"	""	
N	3	""	"174.3497"	""	"5.18e+06"	B	"376945.2"	"434301.2"	"2s.2p.(3P*).4p"	"4D"	"7/2"	"2s.2p.(3P*).8d"	"4D*"	"7/2"		"T7192LS"	""	
N	2	""	"174.5046"	""	"9.07e+06"	B	"109216.6"	"166521.69"	"2s.2p3"	"3P*"	"1"	"2s2.2p.3p"	"3D"	"1"		"T7333"	""	
N	2	""	"174.5076"	""	"5.97e+05"	B	"109217.6"	"166521.69"	"2s.2p3"	"3P*"	"2"	"2s2.2p.3p"	"3D"	"1"		"T7333"	""	
N	1	"174.5252"	"174.5249"	"700"	"8.35e+07"	B	"28838.920"	"86137.350"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(3P).3s"	"2P"	"1/2"		"T7370"	"L3513"	
N	2	""	"174.5256"	""	"1.23e+07"	B	"109223.5"	"166521.69"	"2s.2p3"	"3P*"	"0"	"2s2.2p.3p"	"3D"	"1"		"T7333"	""	
N	1	""	"174.5260"	""	"4.01e+07"	B	"28839.306"	"86137.350"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(3P).3s"	"2P"	"1/2"		"T7370"	""	
N	3	""	"174.6234"	""	"1.22e+05"	C	"297264.4"	"354530.5"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	"2s2.6d"	"2D"	"3/2"		"T7192LS"	""	
N	3	""	"174.6234"	""	"7.34e+05"	B	"297264.4"	"354530.5"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	"2s2.6d"	"2D"	"5/2"		"T7192LS"	""	
N	3	""	"174.6823"	""	"9.49e+00"	C	"0.0"	"57246.8"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"4P"	"3/2"		"T6335n,T6079"	""	
N	3	"174.7848"	"174.7848"	"570"	"1.28e+08"	B	"145875.7"	"203088.9"	"2s.2p2"	"2P"	"1/2"	"2p3"	"2D*"	"3/2"		"T6335n"	"L3513"	
N	3	""	"174.8646"	""	"4.97e+02"	C	"0.0"	"57187.1"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"4P"	"1/2"		"T6335n,T6079"	""	
N	3	""	"174.9674"	""	"3.08e+02"	C+	"174.4"	"57327.9"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"4P"	"5/2"		"T6079"	""	
N	3	"175.1218"	"175.1218"	"350"	"2.48e+07"	B	"145985.8"	"203088.9"	"2s.2p2"	"2P"	"3/2"	"2p3"	"2D*"	"3/2"		"T6335n"	"L3513"	
N	3	"175.1657"	"175.1657"	"650"	"1.51e+08"	B	"145985.8"	"203074.6"	"2s.2p2"	"2P"	"3/2"	"2p3"	"2D*"	"5/2"		"T6335n"	"L3513"	
N	3	""	"175.2160"	""	"6.50e+01"	C	"174.4"	"57246.8"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"4P"	"3/2"		"T6335n,T6079"	""	
N	3	""	"175.3995"	""	"5.22e+02"	C	"174.4"	"57187.1"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"4P"	"1/2"		"T6335n,T6079"	""	
N	3	""	"176.2093"	""	"1.59e+07"	C+	"330232.1"	"386982.8"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4f"	"4F"	"5/2"		"T7192LS"	""	
N	3	""	"176.2441"	""	"9.55e+07"	C+	"330232.1"	"386971.6"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).4f"	"4F"	"3/2"		"T7192LS"	""	
N	3	""	"176.2599"	""	"1.60e+07"	C+	"330266.5"	"387000.9"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4f"	"4F"	"7/2"		"T7192LS"	""	
N	3	""	"176.3162"	""	"8.20e+07"	C+	"330266.5"	"386982.8"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4f"	"4F"	"5/2"		"T7192LS"	""	
N	3	""	"176.3510"	""	"2.38e+07"	C+	"330266.5"	"386971.6"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).4f"	"4F"	"3/2"		"T7192LS"	""	
N	2	""	"176.3639"	""	"5.29e+07"	C+	"155126.73"	"211827.67"	"2s.2p3"	"3S*"	"1"	"2s.2p2.(4P).3s"	"3P"	"2"		"T6385n"	""	
N	3	""	"176.3836"	""	"9.86e+06"	C+	"330318.5"	"387013.1"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4f"	"4F"	"9/2"		"T7192LS"	""	
N	3	""	"176.4216"	""	"9.07e+07"	C+	"330318.5"	"387000.9"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4f"	"4F"	"7/2"		"T7192LS"	""	
N	3	""	"176.4780"	""	"2.12e+07"	C+	"330318.5"	"386982.8"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).4f"	"4F"	"5/2"		"T7192LS"	""	
N	2	""	"176.5140"	""	"5.22e+07"	C+	"155126.73"	"211779.45"	"2s.2p3"	"3S*"	"1"	"2s.2p2.(4P).3s"	"3P"	"1"		"T6385n"	""	
N	3	""	"176.6061"	""	"1.09e+08"	C+	"330389.9"	"387013.1"	"2s.2p.(3P*).3d"	"4F*"	"9/2"	"2s.2p.(3P*).4f"	"4F"	"9/2"		"T7192LS"	""	
N	2	""	"176.6079"	""	"5.18e+07"	C+	"155126.73"	"211749.35"	"2s.2p3"	"3S*"	"1"	"2s.2p2.(4P).3s"	"3P"	"0"		"T6385n"	""	
N	3	""	"176.6441"	""	"1.23e+07"	C+	"330389.9"	"387000.9"	"2s.2p.(3P*).3d"	"4F*"	"9/2"	"2s.2p.(3P*).4f"	"4F"	"7/2"		"T7192LS"	""	
N	2	""	"177.2735"	""	"3.22e+05"	D	"148940.17"	"205350.18"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.4p"	"1D"	"2"		"T6385"	""	
N	2	""	"178.0551"	""	"4.03e+06"	C	"149187.80"	"205350.18"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"1D"	"2"		"T6385"	""	
N	2	""	"178.9402"	""	"1.26e+07"	B	"164610.76"	"220495.36"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.5d"	"1D*"	"2"		"T5520"	""	
N	3	""	"179.235"	""	"6.90e+00"	D	"131004.3"	"186797.1"	"2s.2p2"	"2S"	"1/2"	"2p3"	"4S*"	"3/2"		"T6335"	""	
N	3	""	"179.874"	""	"1.01e+08"	C+	"332791.3"	"388385.8"	"2s.2p.(3P*).3d"	"4D*"	"1/2"	"2s.2p.(3P*).4f"	"4D"	"1/2"		"T7192LS"	""	
N	3	""	"179.916"	""	"1.01e+08"	C+	"332804.4"	"388385.8"	"2s.2p.(3P*).3d"	"4D*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"1/2"		"T7192LS"	""	
N	3	""	"179.968"	""	"5.05e+07"	C+	"332791.3"	"388356.8"	"2s.2p.(3P*).3d"	"4D*"	"1/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T7192LS"	""	
N	3	""	"180.010"	""	"8.08e+07"	C+	"332804.4"	"388356.8"	"2s.2p.(3P*).3d"	"4D*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T7192LS"	""	
N	3	""	"180.080"	""	"7.06e+07"	C+	"332826.0"	"388356.8"	"2s.2p.(3P*).3d"	"4D*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T7192LS"	""	
N	3	""	"180.164"	""	"4.70e+07"	C+	"332804.4"	"388309.3"	"2s.2p.(3P*).3d"	"4D*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T7192LS"	""	
N	3	""	"180.234"	""	"1.15e+08"	C+	"332826.0"	"388309.3"	"2s.2p.(3P*).3d"	"4D*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T7192LS"	""	
N	3	""	"180.325"	""	"3.82e+07"	C+	"332854.0"	"388309.3"	"2s.2p.(3P*).3d"	"4D*"	"7/2"	"2s.2p.(3P*).4f"	"4D"	"5/2"		"T7192LS"	""	
N	3	""	"180.353"	""	"2.86e+07"	C+	"332826.0"	"388272.8"	"2s.2p.(3P*).3d"	"4D*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"7/2"		"T7192LS"	""	
N	3	""	"180.444"	""	"1.72e+08"	C+	"332854.0"	"388272.8"	"2s.2p.(3P*).3d"	"4D*"	"7/2"	"2s.2p.(3P*).4f"	"4D"	"7/2"		"T7192LS"	""	
N	3	"180.4486"	"180.449"	"150"	"2.49e+08"	B	"245665.4"	"301082.6"	"2s2.3p"	"2P*"	"1/2"	"2s2.4s"	"2S"	"1/2"		"T7192LS"	"L3513"	
N	2	""	"180.524"	""	"2.48e+04"	C	"109216.6"	"164610.76"	"2s.2p3"	"3P*"	"1"	"2s2.2p.3p"	"1P"	"1"		"T7333"	""	
N	2	""	"180.528"	""	"3.05e+03"	C	"109217.6"	"164610.76"	"2s.2p3"	"3P*"	"2"	"2s2.2p.3p"	"1P"	"1"		"T7333"	""	
N	2	""	"180.547"	""	"4.06e+03"	C	"109223.5"	"164610.76"	"2s.2p3"	"3P*"	"0"	"2s2.2p.3p"	"1P"	"1"		"T7333"	""	
N	3	"180.5669"	"180.566"	"200"	"4.96e+08"	B	"245701.3"	"301082.6"	"2s2.3p"	"2P*"	"3/2"	"2s2.4s"	"2S"	"1/2"		"T7192LS"	"L3513"	
N	3	""	"180.996"	""	"2.13e+07"	B	"311690.3"	"366940"	"2s2.4p"	"2P*"	"1/2"	"2s2.8d"	"2D"	"3/2"		"T7192LS"	""	
N	3	""	"181.078"	""	"2.55e+07"	B	"311715.2"	"366940"	"2s2.4p"	"2P*"	"3/2"	"2s2.8d"	"2D"	"5/2"		"T7192LS"	""	
N	3	""	"181.078"	""	"4.25e+06"	B	"311715.2"	"366940"	"2s2.4p"	"2P*"	"3/2"	"2s2.8d"	"2D"	"3/2"		"T7192LS"	""	
N	5	""	"181.110"	""	"1.45e+08"	A	"678300.4"	"[733515.4]"	"1s2.5p"	"2P*"	"1/2"	"1s2.7d"	"2D"	"3/2"		"T5118LS"	""	
N	5	""	"181.157"	""	"1.74e+08"	A	"678316.5"	"[733517.2]"	"1s2.5p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"5/2"		"T5118LS"	""	
N	5	""	"181.163"	""	"2.90e+07"	A	"678316.5"	"[733515.4]"	"1s2.5p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"3/2"		"T5118LS"	""	
N	3	""	"181.632"	""	"1.73e+06"	B	"379300.1"	"434356.6"	"2s.2p.(3P*).4p"	"4P"	"1/2"	"2s.2p.(3P*).8d"	"4P*"	"1/2"		"T7192LS"	""	
N	3	""	"181.632"	""	"4.32e+06"	B	"379300.1"	"434356.6"	"2s.2p.(3P*).4p"	"4P"	"1/2"	"2s.2p.(3P*).8d"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"181.779"	""	"1.38e+06"	B	"379344.8"	"434356.6"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).8d"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"181.779"	""	"8.62e+06"	B	"379344.8"	"434356.6"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).8d"	"4P*"	"1/2"		"T7192LS"	""	
N	3	""	"181.779"	""	"3.10e+06"	B	"379344.8"	"434356.6"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).8d"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"181.815"	""	"8.76e+06"	B	"379300.1"	"434301.2"	"2s.2p.(3P*).4p"	"4P"	"1/2"	"2s.2p.(3P*).8d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"181.815"	""	"1.75e+07"	B	"379300.1"	"434301.2"	"2s.2p.(3P*).4p"	"4P"	"1/2"	"2s.2p.(3P*).8d"	"4D*"	"1/2"		"T7192LS"	""	
N	3	""	"181.954"	""	"7.22e+06"	B	"379397.6"	"434356.6"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).8d"	"4P*"	"5/2"		"T7192LS"	""	
N	3	""	"181.954"	""	"4.64e+06"	B	"379397.6"	"434356.6"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).8d"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"181.962"	""	"1.47e+07"	B	"379344.8"	"434301.2"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).8d"	"4D*"	"5/2"		"T7192LS"	""	
N	3	""	"181.962"	""	"1.12e+07"	B	"379344.8"	"434301.2"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).8d"	"4D*"	"3/2"		"T7192LS"	""	
N	3	""	"181.962"	""	"3.49e+06"	B	"379344.8"	"434301.2"	"2s.2p.(3P*).4p"	"4P"	"3/2"	"2s.2p.(3P*).8d"	"4D*"	"1/2"		"T7192LS"	""	
N	3	""	"182.137"	""	"2.09e+07"	B	"379397.6"	"434301.2"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).8d"	"4D*"	"7/2"		"T7192LS"	""	
N	3	""	"182.137"	""	"6.27e+06"	B	"379397.6"	"434301.2"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).8d"	"4D*"	"5/2"		"T7192LS"	""	
N	3	""	"182.137"	""	"1.05e+06"	B	"379397.6"	"434301.2"	"2s.2p.(3P*).4p"	"4P"	"5/2"	"2s.2p.(3P*).8d"	"4D*"	"3/2"		"T7192LS"	""	
N	2	""	"183.0527"	""	"1.31e+06"	C	"148908.59"	"203537.66"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.4p"	"3S"	"1"		"T6385n"	""	
N	2	""	"183.1586"	""	"4.24e+06"	C	"148940.17"	"203537.66"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.4p"	"3S"	"1"		"T6385n"	""	
N	3	""	"183.557"	""	"3.55e+07"	B	"314217.3"	"368696.3"	"2s.2p.(3P*).3p"	"4S"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"		"T7192LS"	""	
N	2	""	"183.6172"	""	"1.08e+07"	C	"149076.52"	"203537.66"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.4p"	"3S"	"1"		"T6385n"	""	
N	3	""	"183.955"	""	"3.52e+07"	B	"314217.3"	"368578.3"	"2s.2p.(3P*).3p"	"4S"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T7192LS"	""	
N	2	""	"183.9931"	""	"3.97e+05"	D	"149187.80"	"203537.66"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"3S"	"1"		"T6385"	""	
N	2	""	"184.0983"	""	"1.09e+06"	D	"148940.17"	"203258.98"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.4p"	"3P"	"2"		"T6385n"	""	
N	3	""	"184.172"	""	"3.51e+07"	B	"314217.3"	"368514.4"	"2s.2p.(3P*).3p"	"4S"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"1/2"		"T7192LS"	""	
N	2	""	"184.2284"	""	"2.90e+06"	D	"148908.59"	"203189.03"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.4p"	"3P"	"1"		"T6385n"	""	
N	2	""	"184.3357"	""	"4.28e+06"	D	"148940.17"	"203189.03"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.4p"	"3P"	"1"		"T6385n"	""	
N	2	""	"184.4259"	""	"7.98e+06"	D	"148940.17"	"203162.48"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.4p"	"3P"	"0"		"T6385n"	""	
N	2	""	"184.5616"	""	"7.56e+06"	D	"149076.52"	"203258.98"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.4p"	"3P"	"2"		"T6385n"	""	
N	3	""	"184.569"	""	"7.73e+08"	C+	"332791.3"	"386971.6"	"2s.2p.(3P*).3d"	"4D*"	"1/2"	"2s.2p.(3P*).4f"	"4F"	"3/2"		"T7192LS"	""	
N	3	""	"184.575"	""	"8.28e+08"	C+	"332804.4"	"386982.8"	"2s.2p.(3P*).3d"	"4D*"	"3/2"	"2s.2p.(3P*).4f"	"4F"	"5/2"		"T7192LS"	""	
N	3	""	"184.587"	""	"9.47e+08"	C+	"332826.0"	"387000.9"	"2s.2p.(3P*).3d"	"4D*"	"5/2"	"2s.2p.(3P*).4f"	"4F"	"7/2"		"T7192LS"	""	
N	3	""	"184.614"	""	"3.09e+08"	C+	"332804.4"	"386971.6"	"2s.2p.(3P*).3d"	"4D*"	"3/2"	"2s.2p.(3P*).4f"	"4F"	"3/2"		"T7192LS"	""	
N	3	"184.642"	"184.641"	"150"	"1.10e+09"	C+	"332854.0"	"387013.1"	"2s.2p.(3P*).3d"	"4D*"	"7/2"	"2s.2p.(3P*).4f"	"4F"	"9/2"		"T7192LS"	"L3513"	
N	3	""	"184.649"	""	"2.68e+08"	C+	"332826.0"	"386982.8"	"2s.2p.(3P*).3d"	"4D*"	"5/2"	"2s.2p.(3P*).4f"	"4F"	"5/2"		"T7192LS"	""	
N	3	""	"184.683"	""	"1.57e+08"	C+	"332854.0"	"387000.9"	"2s.2p.(3P*).3d"	"4D*"	"7/2"	"2s.2p.(3P*).4f"	"4F"	"7/2"		"T7192LS"	""	
N	3	""	"184.687"	""	"2.20e+07"	C+	"332826.0"	"386971.6"	"2s.2p.(3P*).3d"	"4D*"	"5/2"	"2s.2p.(3P*).4f"	"4F"	"3/2"		"T7192LS"	""	
N	3	""	"184.745"	""	"1.06e+07"	C+	"332854.0"	"386982.8"	"2s.2p.(3P*).3d"	"4D*"	"7/2"	"2s.2p.(3P*).4f"	"4F"	"5/2"		"T7192LS"	""	
N	2	""	"184.8002"	""	"1.55e+06"	D	"149076.52"	"203189.03"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.4p"	"3P"	"1"		"T6385n"	""	
N	2	""	"185.1810"	""	"3.81e+05"	D	"149187.80"	"203189.03"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"3P"	"1"		"T6385"	""	
N	2	""	"185.2721"	""	"4.34e+05"	D	"149187.80"	"203162.48"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"3P"	"0"		"T6385"	""	
N	2	""	"185.7870"	""	"1.76e+07"	C+	"148940.17"	"202765.26"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.4p"	"3D"	"2"		"T6385n"	""	
N	2	""	"185.8545"	""	"1.39e+07"	C+	"148908.59"	"202714.12"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.4p"	"3D"	"1"		"T6385n"	""	
N	2	""	"185.9260"	""	"2.38e+07"	C+	"149076.52"	"202861.36"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.4p"	"3D"	"3"		"T6385n"	""	
N	2	""	"185.9636"	""	"8.11e+06"	C+	"148940.17"	"202714.12"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.4p"	"3D"	"1"		"T6385n"	""	
N	5	"186.037"	""	"90w"	""		""	""	""	""	""	""	""	""		""	"L4829"	
N	2	""	"186.2588"	""	"5.13e+06"	C+	"149076.52"	"202765.26"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.4p"	"3D"	"2"		"T6385n"	""	
N	2	""	"186.4364"	""	"5.45e+05"	C+	"149076.52"	"202714.12"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.4p"	"3D"	"1"		"T6385n"	""	
N	2	""	"186.6457"	""	"8.64e+05"	D	"149187.80"	"202765.26"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"3D"	"2"		"T6385"	""	
N	2	""	"186.8240"	""	"1.14e+06"	D	"149187.80"	"202714.12"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"3D"	"1"		"T6385"	""	
N	3	""	"187.604"	""	"1.10e+07"	B	"311690.3"	"364994.2"	"2s2.4p"	"2P*"	"1/2"	"2s2.8s"	"2S"	"1/2"		"T7192LS"	""	
N	5	""	"187.630"	""	"4.27e+06"	B+	"[679712.7]"	"[733009.2]"	"1s2.5d"	"2D"	"3/2"	"1s2.7p"	"2P*"	"3/2"		"T5118LS"	""	
N	5	""	"187.647"	""	"3.84e+07"	B+	"679717.6"	"[733009.2]"	"1s2.5d"	"2D"	"5/2"	"1s2.7p"	"2P*"	"3/2"		"T5118LS"	""	
N	5	""	"187.650"	""	"4.27e+07"	B+	"[679712.7]"	"[733003.3]"	"1s2.5d"	"2D"	"3/2"	"1s2.7p"	"2P*"	"1/2"		"T5118LS"	""	
N	3	""	"187.691"	""	"2.20e+07"	B	"311715.2"	"364994.2"	"2s2.4p"	"2P*"	"3/2"	"2s2.8s"	"2S"	"1/2"		"T7192LS"	""	
N	2	""	"187.7510"	""	"4.77e+04"	D	"148908.59"	"202170.63"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.4p"	"1P"	"1"		"T6385"	""	
N	2	""	"187.8624"	""	"2.37e+06"	D	"148940.17"	"202170.63"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.4p"	"1P"	"1"		"T6385"	""	
N	5	""	"188.235"	""	"5.80e+07"	A	"678300.4"	"731425.4"	"1s2.5p"	"2P*"	"1/2"	"1s2.7s"	"2S"	"1/2"		"T5118LS"	""	
N	5	""	"188.292"	""	"1.16e+08"	A	"678316.5"	"731425.4"	"1s2.5p"	"2P*"	"3/2"	"1s2.7s"	"2S"	"1/2"		"T5118LS"	""	
N	3	"188.506"	"188.506"	"350"	"1.10e+09"	C+	"267238.4"	"320287.2"	"2s2.3d"	"2D"	"3/2"	"2s2.4f"	"2F*"	"5/2"		"T7192LS"	"L3513"	
N	3	"188.522"	"188.522"	"400"	"1.17e+09"	C+	"267244.0"	"320288.3"	"2s2.3d"	"2D"	"5/2"	"2s2.4f"	"2F*"	"7/2"		"T7192LS"	"L3513"	
N	3	""	"188.526"	""	"7.83e+07"	C+	"267244.0"	"320287.2"	"2s2.3d"	"2D"	"5/2"	"2s2.4f"	"2F*"	"5/2"		"T7192LS"	""	
N	2	""	"188.7404"	""	"3.63e+07"	D	"149187.80"	"202170.63"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.4p"	"1P"	"1"		"T5520,T6385"	""	
N	3	""	"189.624"	""	"1.96e+04"	D	"376750.4"	"429486.3"	"2s.2p.(3P*).4p"	"4D"	"1/2"	"2s.2p.(3P*).7d"	"4P*"	"3/2"		"T7192LS"	""	
N	3	""	"189.624"	""	"1.96e+05"	C	"376750.4"	"429486.3"	"2s.2p.(3P*).4p"	"4D"	"1/2"	"2s.2p.(3P*).7d"	"4P*"	"1/2"		"T7192LS"	""	
N	6	""	"189.68"	""	"6.823e+07"	AA	"3385890"	"3438610"	"1s.2s"	"3S"	"1"	"1s.2p"	"3P*"	"2"		"T5997LS"	""	
N	3	""	"189.787"	""	"1.25e+05"	C	"376795.7"	"429486.3"	"2s.2p.(3P*).4p"	"4D"	"3/2"	"2s.2p.(3P*).7d"	"4P*"	"3/2"		"T7192LS"	""	
